date_id,date_id,Biomass,Grid emission factor,Hard Coal,Hydro,Lignite,Natural Gas,Nuclear,Other,Pumped storage generation,Solar,Conventional,Total electricity demand,Total grid emissions,Wind offshore,Wind onshore,Total Renewables,Total Conventional,Renewable share,Conventional share
2021-01-01T00:00:00,2021-01-01T00:00:00,4.942,480.391,3.761,1.632,11.766,8.767,8.155,2.938,0.212,0,35.598,46.105,22316.508,0.384,3.9,10.858,35.599000000000004,23.372150590868973,76.62784940913102
2021-01-01T01:00:00,2021-01-01T01:00:00,4.928,480.728,3.325,1.62,11.76,8.394,8.16,2.936,0.316,0,34.891,44.331,21798.363,0.396,3.51,10.454,34.891000000000005,23.05436101003418,76.94563898996581
2021-01-01T02:00:00,2021-01-01T02:00:00,4.925,490.106,3.35,1.576,11.918,8.244,8.166,2.932,0.133,0,34.742,42.793,21926.297,0.306,3.189,9.995999999999999,34.743,22.342922282572246,77.65707771742775
2021-01-01T03:00:00,2021-01-01T03:00:00,4.913,502.617,3.115,1.597,12.504,7.957,8.164,2.926,0.001,0,34.667,44.164,22245.706,0.32,2.763,9.593,34.667,21.674197921373697,78.3258020786263
2021-01-01T04:00:00,2021-01-01T04:00:00,4.914,507.126,2.963,1.564,12.563,7.749,8.16,2.962,0.004,0,34.401,44.979,22134.034,0.297,2.47,9.245,34.400999999999996,21.181780690097604,78.8182193099024
2021-01-01T05:00:00,2021-01-01T05:00:00,4.933,513.781,2.989,1.551,12.871,7.849,8.16,2.987,0.02,0,34.876,43.584,22562.882,0.433,2.122,9.039,34.876000000000005,20.58294432426278,79.41705567573722
2021-01-01T06:00:00,2021-01-01T06:00:00,4.975,518.63,3.098,1.571,13.228,7.905,8.164,3.006,0.055,0,35.456,42.597,23082.797,0.512,1.993,9.051,35.456,20.336126901386297,79.6638730986137
2021-01-01T07:00:00,2021-01-01T07:00:00,5.045,506.894,3.224,1.567,12.641,8.022,8.163,3.003,0.564,0,35.617,42.868,22595.869,0.39,1.958,8.959999999999999,35.617,20.10005159611459,79.89994840388542
2021-01-01T08:00:00,2021-01-01T08:00:00,5.123,507.304,3.372,1.56,12.604,8.643,8.167,2.993,0.049,0.2,35.828,43.971,22899.98,0.36,2.069,9.312000000000001,35.828,20.629153743907843,79.37084625609216
2021-01-01T09:00:00,2021-01-01T09:00:00,5.122,489.266,3.369,1.575,12.334,9.393,8.17,2.995,0.076,1.403,36.337,45.939,22893.014,0.249,2.105,10.454,36.336999999999996,22.341903357483282,77.65809664251671
2021-01-01T10:00:00,2021-01-01T10:00:00,5.148,463.793,3.339,1.569,11.765,10.111,8.171,3.003,0.058,3.072,36.448,48.193,22535.209,0.448,1.904,12.141,36.447,24.987651271918992,75.01234872808101
2021-01-01T11:00:00,2021-01-01T11:00:00,5.155,446.931,3.325,1.57,11.41,11.087,8.17,2.988,0.073,4.358,37.053,50.877,22484.351,0.559,1.613,13.254999999999999,37.053,26.347698179216035,73.65230182078398
2021-01-01T12:00:00,2021-01-01T12:00:00,5.094,438.256,3.48,1.584,11.018,11.555,8.163,2.997,0.227,4.964,37.439,51.108,22378.243,0.671,1.311,13.624,37.44,26.680244399185337,73.31975560081466
2021-01-01T13:00:00,2021-01-01T13:00:00,5.045,444.325,3.44,1.586,11.022,11.502,8.163,3.003,0.162,4.355,37.293,50.841,22333.976,0.838,1.148,12.972,37.291999999999994,25.807735158363844,74.19226484163616
2021-01-01T14:00:00,2021-01-01T14:00:00,5.03,456.921,3.372,1.579,10.99,11.774,8.165,3.008,0.165,2.803,37.474,50.252,22353.664,0.802,1.234,11.447999999999999,37.474000000000004,23.400515105678423,76.59948489432158
2021-01-01T15:00:00,2021-01-01T15:00:00,5.044,474.475,3.767,1.582,11.002,12.314,8.167,3.002,0.18,0.972,38.431,50.371,22892.925,0.67,1.551,9.818999999999999,38.432,20.34983730907131,79.65016269092868
2021-01-01T16:00:00,2021-01-01T16:00:00,5.124,464.111,4.037,1.617,11.022,12.954,8.166,3.011,1.478,0.045,40.669,53.223,23399.163,0.835,2.127,9.748,40.668000000000006,19.335131704220878,80.66486829577913
2021-01-01T17:00:00,2021-01-01T17:00:00,5.227,460.567,4.47,1.638,11.15,13.018,8.161,2.999,1.598,0,41.397,54.941,23909.091,0.754,2.897,10.516,41.396,20.257358606873172,79.74264139312683
